day,value
2014/03/07,7.5871
2014/03/08,7.3276
2014/03/09,7.8702
2014/03/10,7.4195
2014/03/11,7.4085
2014/03/12,7.6531
2014/03/13,7.5892
2014/03/14,7.2857
2014/03/15,7.3979
2014/03/16,7.1212
2014/03/17,6.9119
2014/03/18,6.5965
2014/03/19,6.4854
2014/03/20,6.034
2014/03/21,5.777
2014/03/22,5.3122
2014/03/23,5.382
2014/03/24,5.3942
2014/03/25,5.5467
2014/03/26,5.5228
2014/03/27,5.1541
2014/03/28,4.0172
2014/03/29,3.9563
2014/03/30,3.4306
2014/03/31,3.2202
2014/04/01,3.4943
2014/04/02,2.8923
2014/04/03,2.9926
2014/04/04,2.9892
2014/04/05,3.1753
2014/04/06,3.0904
2014/04/07,3.0232
2014/04/08,2.9
2014/04/09,2.7439
2014/04/10,1.8286
2014/04/11,2.4557
2014/04/12,2.4406
2014/04/13,2.3537
2014/04/14,2.8361
2014/04/15,3.6275
2014/04/16,3.7176
2014/04/17,3.2152
2014/04/18,2.9799
2014/04/19,3.2461
2014/04/20,3.1609
2014/04/21,3.0714
2014/04/22,2.9461
2014/04/23,2.95
2014/04/24,3.0026
2014/04/25,2.5631
2014/04/26,2.4838
2014/04/27,2.2923
2014/04/28,2.2612
2014/04/29,2.3062
2014/04/30,2.3035
2014/05/01,2.3875
2014/05/02,2.2474
2014/05/03,2.1344
2014/05/04,2.1154
2014/05/05,2.0509
2014/05/06,2.0124
2014/05/07,2.116
2014/05/08,2.0813
2014/05/09,2.1626
2014/05/10,2.1953
2014/05/11,2.027
2014/05/12,2.04
2014/05/13,2.007
2014/05/14,2.0558
2014/05/15,2.041
2014/05/16,2.035
2014/05/17,2.0273
2014/05/18,1.9987
2014/05/19,1.9819
2014/05/20,2.3338
2014/05/21,2.3686
2014/05/22,2.6877
2014/05/23,2.6875
2014/05/24,2.6547
2014/05/25,3.1235
2014/05/26,3.2165
2014/05/27,3.0874
2014/05/28,3.0936
2014/05/29,3.0079
2014/05/30,3.6104
2014/05/31,3.5824
2014/06/01,3.793
2014/06/02,3.9668
2014/06/03,4.079
2014/06/04,3.747
2014/06/05,3.9297
2014/06/06,3.8042
2014/06/07,3.8279
2014/06/08,3.7927
2014/06/09,3.713
2014/06/10,3.7638
2014/06/11,3.5407
2014/06/12,2.8653
2014/06/13,3.1453
2014/06/14,2.8866
2014/06/15,3.022
2014/06/16,3.1157
2014/06/17,3.2717
2014/06/18,3.2404
2014/06/19,3.1251
